id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
5102678,MT,15418,44439,4771,0.9551,30,101.98,24.79,50,0,0,0
5103254,MT,8837,25439,27960,0.92504,30,109.34,23.36,0,0,0,0
5100607,MT,3914,10855,1437,0.9444,30,105.27,22.54,3,0,0,0
5105606,MT,6865,20030,5228,0.93209,30,103.87,28.05,261,218,0,0
5107248,MT,1731,5361,3812,0.93755,30,108.13,28.83,1,0,0,0
5100805,MT,2807,8540,20489,0.88412,30,110.69,26.58,463,318,0,0
5107909,MT,68530,195459,3991,0.96571,30,101.88,23.91,186,0,0,0
5108501,MT,4284,12751,3058,0.92868,30,106.32,27.09,15,0,0,0
5107743,MT,890,2625,5623,0.92748,30,112.2,21.63,24,0,0,0
5105507,MT,5367,16665,13485,0.91965,30,108.37,25.72,378,41,2589,0
1504752,PA,7478,23482,4988,0.86182,30,108.53,32.5,231,0,0,0
1503804,PA,12607,37664,2008,0.85485,30,96.36,32.22,47,0,0,0
1501725,PA,7195,24616,6363,0.88861,30,104.57,28.28,395,349,0,0
1506500,PA,21491,66485,718,0.9291,30,118.77,31.68,72,0,2239,153
1506583,PA,5431,16451,10330,0.88026,30,112.75,29.79,122,42,2,0
1506203,PA,13482,44544,226,0.91713,30,101.78,33.62,71,0,0,0
1503507,PA,9562,30934,1385,0.85757,30,105.76,37.58,12,0,2581,947
1504422,PA,35884,110593,103,0.95615,30,95.79,26.73,93,0,0,0
1501758,PA,2130,6775,1288,0.8614,30,102.84,35.06,82,79,50,42
1501600,PA,4214,12602,587,0.79833,30,105.4,33.5,2,0,136,0
1507904,PA,7083,24176,2857,0.94367,30,97.36,35.11,26,0,23,0
1504976,PA,4571,13903,1564,0.85707,30,109.5,34.05,8,0,0,0
1500131,PA,2265,7019,614,0.86162,30,103.41,31.63,10,0,0,0
1508035,PA,8736,28579,868,0.83056,30,105.85,32.81,19,0,1810,326
1505403,PA,5758,17836,562,0.86165,30,102.71,35.47,39,0,1820,483
1505494,PA,2200,6884,984,0.80105,30,105.71,37.02,5,0,0,0
2503001,PB,6834,21191,151,0.81433,30,94.13,28.68,34,0,1,0
2511905,PB,5403,16744,136,0.81678,30,96.17,30.8,157,0,56,0
2500601,PB,7140,21658,184,0.82422,30,95.19,29.64,20,0,45,0
2609907,PE,21487,65212,2382,0.7805,30,97.25,41.57,97,0,20,0
2601052,PE,6292,19234,96,0.80864,30,93.96,31.57,6,0,0,0
2611903,PE,6438,19996,227,0.82418,30,97.35,28.28,21,0,865,0
2614204,PE,11889,37570,374,0.81754,30,97.23,28.28,14,0,0,0
2611101,PE,128380,385334,4562,0.91573,30,93.12,27.68,1910,0,897,0
2607406,PE,1344,4283,430,0.87315,30,95.44,34.94,1349,0,711,0
2613404,PE,6103,18771,69,0.85104,30,91.39,33.38,6,0,0,0
2606606,PE,8861,26561,1882,0.75595,30,96.17,40.11,1701,764,6,0
2607208,PE,33191,98462,522,0.87635,30,95.19,25.75,124,0,821,0
2603207,PE,9272,28810,295,0.7401,30,98.83,39.82,10,0,1752,0
2609204,PE,3094,9353,200,0.72256,30,95.39,38.56,1,0,0,0
2611002,PE,10915,34121,1057,0.8629,30,95.15,33.35,5217,596,104,0
2612505,PE,34712,97524,335,0.88237,30,93.53,26.68,121,0,0,0
2613008,PE,17189,49351,719,0.78084,30,97.21,42.3,58,0,2403,0
